52000080;5200-125;82 516;88 000;-5 484;-6 %;112,5;83,30 %
52000393;5200-125;43 090;36 800;6 290;17 %;72;41,70 %
52000455;5200-120;129 080;118 800;10 280;9 %;147,5;109,30 %
52000324;5200-120;112 920;80 500;32 420;40 %;82,5;91,70 %
52000249;5200-120;140 920;138 660;2 260;2 %;137,5;79,70 %
52000452;5200-120;125 425;120 000;5 425;5 %;173;100,30 %
52000245;5200-125;95 704; -   ;95 704;0 %;73,5;42,60 %
52000438;5200-120;58 653; -   ;58 653;0 %;57;33,00 %
52000282;5200-120;158 950;144 875;14 075;10 %;171;99,10 %
52000433;5200-120;130 381;116 600;13 781;12 %;143,5;83,20 %
52000388;5200-135;131 500;114 000;17 500;15 %;131,5;92,30 %
52000372;5200-125;161 438;143 838;17 600;12 %;157,5;91,30 %
52000322;5200-135;65 825;82 500;-16 675;-20 %;60;34,80 %
52000381;5200-120;151 320;102 432;48 888;48 %;156;109,50 %
52000309;5200-120;113 175;88 825;24 350;27 %;104,7;77,60 %
52000026;5200-135;159 030;196 650;-37 620;-19 %;139,5;80,90 %
52000208;5200-120;12 246;46 000;-33 754;-73 %;65,5;41,60 %
52000218;5200-120;83 738;92 800;-9 063;-10 %;115,5;96,30 %
52000377;5200-120;124 047;77 750;46 297;60 %;137;140,50 %
52000356;5200-125;106 326;139 500;-33 174;-24 %;99;101,50 %
52000280;5200-120;185 220;145 530;39 690;27 %;169;98,20 %
52000364;5200-120;39 875;44 800;-4 925;-11 %;55;91,70 %
52000304;5200-120;83 349;119 070;-35 721;-30 %;94,5;70,00 %
52000093;5200-120;146 784;126 000;20 784;16 %;159,5;106,30 %
52000439;5200-120;92 116;85 553;6 564;8 %;100,35;102,90 %
52000460;5200-125;120 175; -   ;120 175;0 %;104,5;60,60 %
52000450;5200-135; -   ; -   ;0;0 %; -   ;0,00 %
52000443;5200-120;65 091;42 960;22 131;52 %;61,5;35,70 %
52000339;5200-120;94 600;114 750;-20 150;-18 %;106,5;83,50 %
52000313;5200-125;63 981;134 000;-70 019;-52 %;172,5;100,00 %
52000445;5200-125;144 375;141 750;2 625;2 %;137;101,50 %
52000024;5200-135;112 860;105 300;7 560;7 %;97;99,50 %
52000410;5200-120; -   ; -   ;0;0 %; -   ;0,00 %
52000374;5200-120;76 600;81 000;-4 400;-5 %;86,5;104,80 %
52000347;5200-125;196 075;141 750;54 325;38 %;170,5;108,30 %
52000230;5200-135;177 100;198 000;-20 900;-11 %;161;93,30 %
52000285;5200-125;49 765;80 460;-30 695;-38 %;84,5;51,20 %
52000422;5200-120;77 403;77 592;-189;0 %;85,5;87,70 %
52000385;5200-120;86 638;72 000;14 638;20 %;119,5;106,20 %
52000411;5200-140; -   ; -   ;0;; -   ;0,00 %
52000355;5200-125;149 280;160 425;-11 145;-7 %;155,5;94,20 %
52000446;5200-120;75 581; -   ;75 581;0 %;104,25;106,90 %
52000440;5200-120; -   ;78 000;-78 000;-100 %; -   ;0,00 %
52000365;5200-120;23 037; -   ;23 037;0 %;159,5;92,50 %
52000391;5200-135; -   ; -   ;0;0 %; -   ;0,00 %
52000447;5200-125; -   ; -   ;0;0 %; -   ;0,00 %
52000251;5200-120; -   ; -   ;0;0 %; -   ;0,00 %
52000306;5200-120;91 000;121 125;-30 125;-25 %;91;71,40 %
52000454;5200-120;152 100;121 500;30 600;25 %;169;98,00 %
