52000080;5200-125;44 970;34 000;10 970;32 %;56;67,90 %
52000393;5200-125; -   ;18 400;-18 400;-100 %;55,5;67,30 %
52000455;5200-120;76 560;72 600;3 960;5 %;87;105,50 %
52000324;5200-120;93 998;99 000;-5 002;-5 %;115,5;96,30 %
52000249;5200-120; -   ; -   ;0;0 %; -   ;0,00 %
52000452;5200-120;36 315; -   ;36 315;0 %;45;100,00 %
52000438;5200-120; -   ; -   ;0;0 %; -   ;0,00 %
52000282;5200-120;35 000;35 625;-625;-2 %;37,5;100,00 %
52000433;5200-120;49 662;42 750;6 912;16 %;76,5;170,00 %
52000388;5200-135;135 000;114 000;21 000;18 %;135;85,70 %
52000372;5200-125;146 063;117 938;28 125;24 %;142,5;95,00 %
52000322;5200-135; -   ;33 000;-33 000;-100 %; -   ;0,00 %
52000381;5200-120;113 490;93 120;20 370;22 %;117;91,80 %
52000309;5200-120;38 390;110 200;-71 810;-65 %;56,5;68,50 %
52000026;5200-135; -   ;8 550;-8 550;-100 %; -   ;0,00 %
52000208;5200-120;3 120;18 400;-15 280;-83 %;45;54,50 %
52000218;5200-120;46 806;52 400;-5 594;-11 %;58;96,70 %
52000377;5200-120;84 570; -   ;84 570;0 %;89;107,90 %
52000356;5200-125;84 309;41 850;42 459;101 %;78,5;104,70 %
52000280;5200-120; -   ; -   ;0;0 %; -   ;0,00 %
52000364;5200-120;126 497;122 800;3 697;3 %;156,75;99,50 %
52000304;5200-120;72 765;72 765;0;0 %;82,5;100,00 %
52000093;5200-120;97 161;31 500;65 661;208 %;100,5;121,80 %
52000439;5200-120;50 600;119 350;-68 750;-58 %;46;38,30 %
52000450;5200-135; -   ; -   ;0;0 %; -   ;0,00 %
52000443;5200-120; -   ;42 960;-42 960;-100 %; -   ;0,00 %
52000339;5200-120;106 750;108 000;-1 250;-1 %;120;100,00 %
52000313;5200-125;22 193;62 000;-39 807;-64 %;50;60,60 %
52000445;5200-125;47 250;86 625;-39 375;-45 %;45;54,50 %
52000024;5200-135;163 679;105 300;58 379;55 %;114;95,00 %
52000410;5200-120; -   ; -   ;0;0 %; -   ;0,00 %
52000374;5200-120;114 300;108 000;6 300;6 %;127;89,10 %
52000347;5200-125;4 025;7 875;-3 850;-49 %;3,5;7,80 %
52000230;5200-135; -   ; -   ;0;0 %; -   ;0,00 %
52000285;5200-125;13 311;35 100;-21 789;-62 %;51;136,00 %
52000422;5200-120;108 824;97 600;11 224;12 %;122;101,70 %
52000385;5200-120;36 315;60 800;-24 485;-40 %;45;100,00 %
52000411;5200-140; -   ; -   ;0;; -   ;0,00 %
52000355;5200-125;7 200;6 975;225;3 %;7,5;100,00 %
52000446;5200-120;96 033;96 000;33;0 %;119;99,20 %
52000440;5200-120; -   ; -   ;0;0 %; -   ;0,00 %
52000365;5200-120;34 866; -   ;34 866;0 %;77,5;64,60 %
52000391;5200-135; -   ; -   ;0;0 %; -   ;0,00 %
52000447;5200-125;12 528; -   ;12 528;0 %;48;106,70 %
52000251;5200-120; -   ; -   ;0;0 %; -   ;0,00 %
52000306;5200-120;43 500;57 000;-13 500;-24 %;43,5;64,40 %
52000454;5200-120;74 250;74 250;0;0 %;82,5;100,00 %
52000283;5200-120;63 535;63 050;485;1 %;92;111,50 %
52000054;5200-125;9 244;51 600;-42 356;-82 %;7,5;100,00 %
52000172;5200-125;104 120;81 510;22 610;28 %;95;97,40 %
52000375;5200-135; -   ; -   ;0;0 %; -   ;0,00 %
52000171;5200-125; -   ;8 175;-8 175;-100 %; -   ;0,00 %
52000308;5200-120;139 753;122 040;17 713;15 %;123,5;78,40 %
52000261;5200-135;80 145;52 650;27 495;52 %;68,5;83,00 %
52000336;5200-135;98 089;69 300;28 789;42 %;75;100,00 %
52000335;5200-125; -   ; -   ;0;0 %;6;3,80 %
52000314;5200-120;42 676;25 650;17 026;66 %;55,75;61,90 %
52000373;5200-120; -   ; -   ;0;0 %; -   ;0,00 %
52000126;5200DGEC;1 500; -   ;1 500;0 %; -   ;0,00 %
52000357;5200-125;109 688;126 000;-16 313;-13 %;97,5;81,30 %
52000236;5200-135; -   ; -   ;0;0 %; -   ;0,00 %
52000431;5200-120;36 903;36 400;503;1 %;51,25;62,10 %
52000062;5200-120;75 000;105 000;-30 000;-29 %;75;47,60 %
52000118;5200-120;2 136;18 500;-16 364;-88 %;42,5;94,40 %
52000426;5200-120;21 472;43 920;-22 448;-51 %;22;29,30 %
52000329;5200-120;36 938;58 800;-21 863;-37 %;75;83,30 %
52000379;5200-120;42 500;42 750;-250;-1 %;43,5;96,70 %
52000513;5200-140; -   ; -   ;0;0 %; -   ;0,00 %
52000367;5200-120;76 665;96 000;-19 335;-20 %;95;97,40 %
52000289;5200-120;127 103;141 750;-14 647;-10 %;157,5;100,00 %
52000424;5200-120;129 600;95 900;33 700;35 %;162;108,00 %
52000444;5200-120;66 577;66 000;577;1 %;82,5;100,00 %
52000378;5200-120;18 359;18 000;359;2 %;46;102,20 %
52000213;5200-125;48 880;46 800;2 080;4 %;47;104,40 %
52000398;5200-120;98 440;83 210;15 230;18 %;94,5;114,50 %
52000383;5200-120;36 315;30 000;6 315;21 %;45;100,00 %
52000407;5200-135; -   ;90 500;-90 500;-100 %; -   ;0,00 %
52000252;5200-120;44 970;93 080;-48 110;-52 %;75;90,90 %
52000350;5200-120;79 045;66 445;12 600;19 %;82,5;100,00 %
52000173;5200-125; -   ;9 000;-9 000;-100 %; -   ;0,00 %
52000549;5200-120; -   ; -   ;0;0 %;6;80,00 %
52000240;5200-125;33 750;42 188;-8 438;-20 %;30;66,70 %
52000456;5200-120;13 200; -   ;13 200;0 %;15;100,00 %
52000451;5200-120;55 566;32 040;23 526;73 %;100,5;134,00 %
52000343;5200-135;83 670;45 000;38 670;86 %;67,5;52,90 %
52000194;5200-125;41 475;47 250;-5 775;-12 %;45;100,00 %
52000369;5200-120;5 100; -   ;5 100;0 %;54;60,00 %
52000049;5200-120;26 400;50 750;-24 350;-48 %;94,5;114,50 %
52000341;5200-135;5 200; -   ;5 200;0 %;4;8,90 %
52000353;5200-135; -   ; -   ;0;0 %; -   ;0,00 %
52000254;5200-120;6 408; -   ;6 408;0 %;27;90,00 %
52000014;5200-120;54 510;47 400;7 110;15 %;46;61,30 %
52000435;5200-125;126 296;96 000;30 296;32 %;158,5;100,60 %
52000239;5200-135;42 930;21 938;20 993;96 %;37,5;100,00 %
52000266;5200-135; -   ; -   ;0;0 %; -   ;0,00 %
52000436;5200-125;63 425;88 688;-25 263;-28 %;59;87,40 %
52000358;5200-125; -   ; -   ;0;0 %; -   ;0,00 %
52000434;5200-120;20 290; -   ;20 290;0 %;25;30,30 %
52000191;5200-120; -   ; -   ;0;0 %; -   ;0,00 %
52000305;5200-135;99 505;50 250;49 255;98 %;87,5;106,10 %
52000220;5200-120;98 500;71 250;27 250;38 %;107;95,10 %
52000219;5200-120;18 200;15 600;2 600;17 %;39;47,30 %
52000448;5200-120;41 968;43 920;-1 952;-4 %;43;95,60 %
52000390;5200-135;45 500;45 000;500;1 %;45,5;67,40 %
52000428;5200-135;161 342;93 600;67 742;72 %;136;106,70 %
