52000135;5200-125;115 960;126 000;-10 040;-8 %;111,5;82,60 %
52000080;5200-125;108 849;98 000;10 849;11 %;127;89,10 %
52000393;5200-125;81 465;64 400;17 065;26 %;152,5;107,00 %
52000324;5200-120;84 539;121 125;-36 586;-30 %;112;83,00 %
52000249;5200-120;130 708;122 685;8 023;7 %;133,5;93,70 %
52000438;5200-120;3 904; -   ;3 904;0 %;4;3,60 %
52000282;5200-120;56 915;105 450;-48 535;-46 %;118,5;83,20 %
52000433;5200-120;35 813;75 600;-39 787;-53 %;66,5;46,70 %
52000388;5200-135;146 150;142 500;3 650;3 %;146;102,50 %
52000372;5200-125;138 375;111 925;26 450;24 %;135;94,70 %
52000322;5200-135;47 150;51 750;-4 600;-9 %;43;41,00 %
52000381;5200-120;79 530;74 205;5 325;7 %;84;80,00 %
52000309;5200-120;42 596;13 300;29 296;220 %;81,05;56,90 %
52000026;5200-135;160 170;162 450;-2 280;-1 %;140,5;98,60 %
52000208;5200-120;93 619;118 220;-24 601;-21 %;146;102,50 %
52000218;5200-120;115 579;106 400;9 179;9 %;134,5;94,40 %
52000377;5200-120;128 888;62 500;66 388;106 %;162,5;114,00 %
52000356;5200-125;22 554;106 020;-83 466;-79 %;21;14,70 %
52000280;5200-120;128 772;99 225;29 547;30 %;120;100,00 %
52000364;5200-120;106 482;110 800;-4 318;-4 %;124,25;87,20 %
52000304;5200-120;121 716;125 685;-3 969;-3 %;138;96,80 %
52000093;5200-120;134 250;107 400;26 850;25 %;146,5;102,80 %
52000439;5200-120;62 515; -   ;62 515;0 %;133;93,30 %
52000162;5200-125; -   ; -   ;0;0 %; -   ;0,00 %
52000443;5200-120; -   ; -   ;0;0 %; -   ;0,00 %
52000569;5200-120; -   ; -   ;0;0 %; -   ;0,00 %
52000339;5200-120;112 050;128 250;-16 200;-13 %;124,5;92,20 %
52000313;5200-125;61 269;110 000;-48 731;-44 %;133;93,30 %
52000025;5200-120;165 249;151 200;14 049;9 %;150,5;105,60 %
52000445;5200-125;155 400;149 625;5 775;4 %;148;103,90 %
52000212;5200-125; -   ; -   ;0;0 %; -   ;0,00 %
52000315;5200-135; -   ; -   ;0;0 %; -   ;0,00 %
52000024;5200-135;201 679;140 400;61 279;44 %;146;102,50 %
52000410;5200-120; -   ; -   ;0;0 %; -   ;0,00 %
52000374;5200-120;122 950;128 250;-5 300;-4 %;138;96,80 %
52000347;5200-125;193 775;141 750;52 025;37 %;168,5;118,20 %
52000230;5200-135;158 400;162 000;-3 600;-2 %;144;101,10 %
52000285;5200-125;96 615;105 750;-9 135;-9 %;121,5;85,30 %
52000558;5200-125; -   ; -   ;0;0 %; -   ;0,00 %
52000422;5200-120;92 232;90 280;1 952;2 %;96;67,40 %
52000385;5200-120;48 421;60 000;-11 580;-19 %;56,5;44,30 %
52000411;5200-140;1 796; -   ;1 796;; -   ;0,00 %
52000355;5200-125;105 600;117 180;-11 580;-10 %;110;85,60 %
52000446;5200-120;110 767; -   ;110 767;0 %;129,25;95,70 %
52000440;5200-120;15 000;102 000;-87 000;-85 %;12,5;10,40 %
52000365;5200-120;67 448;37 125;30 323;82 %;146,5;102,80 %
52000391;5200-135; -   ; -   ;0;0 %; -   ;0,00 %
