52000080;5200-125; 115 399 ; 114 000 ;1 399;1 %; 158,00 ;100,3 %
52000393;5200-125; 90 000 ; 27 600 ;62 400;226 %; 90,00 ;57,1 %
52000455;5200-120; 150 040 ; 132 000 ;18 040;14 %; 170,50 ;113,7 %
52000324;5200-120; 101 642 ; 130 000 ;-28 358;-22 %; 151,00 ;95,9 %
52000249;5200-120; 113 360 ; 129 480 ;-16 120;-12 %; 129,50 ;82,2 %
52000452;5200-120; 97 088 ; 120 000 ;-22 912;-19 %; 135,50 ;86,0 %
52000245;5200-125; 137 078 ; 161 850 ;-24 773;-15 %; 108,00 ;68,6 %
52000438;5200-120; 135 314 ; 169 050 ;-33 737;-20 %; 131,50 ;83,5 %
52000282;5200-120; 159 798 ; 145 825 ;13 973;10 %; 157,50 ;100,0 %
52000433;5200-120; 92 977 ; 136 900 ;-43 923;-32 %; 130,50 ;82,9 %
52000372;5200-125; 153 750 ; 125 800 ;27 950;22 %; 150,00 ;95,2 %
52000322;5200-135; 92 525 ; 7 875 ;84 650;1075 %; 88,00 ;55,9 %
52000381;5200-120; 59 170 ; 44 863 ;14 308;32 %; 61,00 ;54,2 %
52000309;5200-120; -   ; -   ;0;0 %; -   ;0,0 %
52000026;5200-135; 177 270 ; 179 550 ;-2 280;-1 %; 155,50 ;98,7 %
52000208;5200-120; 105 560 ; 46 000 ;59 560;129 %; 110,50 ;70,8 %
52000218;5200-120; 101 388 ; 122 800 ;-21 412;-17 %; 141,50 ;89,8 %
52000377;5200-120; 163 548 ; 157 500 ;6 048;4 %; 164,50 ;109,7 %
52000356;5200-125; 149 823 ; 117 180 ;32 643;28 %; 139,50 ;88,6 %
52000280;5200-120; 136 710 ; 132 300 ;4 410;3 %; 155,00 ;98,4 %
52000364;5200-120; 111 419 ; 122 800 ;-11 381;-9 %; 155,50 ;98,7 %
52000304;5200-120; 141 168 ; 138 915 ;2 253;2 %; 159,00 ;101,0 %
52000093;5200-120; 173 046 ; 126 000 ;47 046;37 %; 182,50 ;121,7 %
52000439;5200-120; 118 513 ; 112 545 ;5 968;5 %; 127,50 ;81,0 %
52000460;5200-125; 187 767 ; 149 625 ;38 142;25 %; 171,50 ;108,9 %
52000450;5200-135; -   ; -   ;0;0 %; -   ;0,0 %
52000443;5200-120; 60 486 ; 82 161 ;-21 675;-26 %; 86,00 ;54,6 %
52000339;5200-120; 129 375 ; 141 750 ;-12 375;-9 %; 143,75 ;91,3 %
52000313;5200-125; 51 808 ; 60 000 ;-8 192;-14 %; 124,00 ;103,3 %
52000445;5200-125; 200 025 ; 165 375 ;34 650;21 %; 190,50 ;133,7 %
52000024;5200-135; 200 050 ; 172 575 ;27 475;16 %; 172,00 ;109,2 %
52000410;5200-120; 65 780 ; -   ;65 780;0 %; 71,50 ;45,4 %
52000374;5200-120; 125 300 ; 121 500 ;3 800;3 %; 142,00 ;105,2 %
52000347;5200-125; 188 600 ; 126 000 ;62 600;50 %; 164,00 ;121,5 %
52000230;5200-135; -   ; -   ;0;0 %; -   ;0,0 %
52000285;5200-125; 83 459 ; 94 000 ;-10 541;-11 %; 114,50 ;80,4 %
52000422;5200-120; 151 768 ; 132 248 ;19 520;15 %; 155,50 ;98,7 %
52000385;5200-120; 99 596 ; 126 000 ;-26 404;-21 %; 139,00 ;88,3 %
52000411;5200-140; -   ; -   ;0;; -   ;0,0 %
